浴びる 	abiru	 to take a shower
白い 	shiroi	 white
知る 	shiru	 to be aware of, to know
下 	shita	 below, down, under
質問 	shitsumon	 question, inquiry
静か 	shizuka	 quiet, silent
食堂 	shokudou	 dining room, dining hall
醤油 	shouyu	 soy sauce
宿題 	shukudai	 homework
側 	soba	 near, close, beside
空 	sora	 sky
外 	soto	 outside, exterior
掃除 	souji	 cleaning, sweeping
すぐ	 immediately
水曜日 	suiyoubi	 Wednesday
好き 	suki	 liking, fondness, love
少し 	sukoshi	 small quantity, little
少ない 	sukunai	 few, a little
住む 	sumu	 to live, to reside
する 	suru	 to do
吸う 	suu	 to smoke, to breathe in
座る 	suwaru	 to sit
涼しい 	suzushii	 cool, refreshing
煙草 	tabako	 tabacco, cigarette
食べ物 	tabemono	 food
食べる 	taberu	 to eat
多分 	tabun	 perhaps, probably
大変 	taihen	 very, greatly, immense
大切 	taisetsu	 important, necessary
大使館 	taishikan	 embassy
高い 	takai	 high, tall, expensive
沢山 	takusan	 a lot, plenty, many
卵 	tamago	 egg, spawn
誕生日 	tanjoubi	 birthday
楽しい 	tanoshii	 enjoyable, fun
頼む 	tanomu	 to request, to beg, to ask
建物 	tatemono	 building
立つ 	tatsu	 to stand, to rise
手 	te	 hand
手紙 	tegami	 letter
天気 	tenki	 weather
戸 	to	 door
飛ぶ 	tobu	 to fly
友達 	tomodachi	 friend, companion
止まる 	tomaru	 to stop 	moving
隣 	tonari	 neighbor, next to
十日 	tooka	 tenth day of the month, ten days
鳥 	tori	 bird
取る 	toru	 to take, to pick up
年 	toshi	 year, age
図書館 	toshokan	 library
時計 	tokei	 watch, clock
時々 	tokidoki	 sometimes, at times
所 	tokoro	 place, spot, scene
遠い 	tooi	 far, distant
撮る 	toru	 to take 	a photo, to record 	a video
とても 	totemo	 very, exceedingly
疲れる 	tsukareru	 to get tired
次 	tsugi	 next, following
使う 	tsukau	 to use, to make use of
一日 	tsuitachi	 first day of the month
着く 	tsuku	 to arrive at, to reach
机 	tsukue	 desk
作る 	tsukuru	 to make, to produce
詰まらない 	tsumaranai	 dull, uninteresting
冷たい 	tsumetai	 cold 	to the touch
勤める 	tsutomeru	 to work 	for, to be employed 	at
強い 	tsuyoi	 strong, powerful
上 	ue	 above, up, over
生まれる 	umareru	 to be born
海 	umi	 sea, ocean
売る 	uru	 to sell
煩い 	urusai	 noisy, loud
後ろ 	ushiro	 back, behind, rear
薄い 	usui	 thin, pale, light
歌 	uta	 song
歌う 	utau	 to sing
上着 	uwagi	 coat, jacket
若い 	wakai	 young, youthful
分かる 	wakaru	 to understand, to comprehend
悪い 	warui	 bad, poor, inferior
忘れる 	wasureru	 to forget
私 	watashi	 I, me
渡る 	wataru	 to cross over
渡す 	watasu	 to hand over, to hand in
山 	yama	 mountain
やる 	yaru	 to do
野菜 	yasai	 vegetable
安い 	yasui	 cheap, inexpensive
休み 	yasumi	 rest, recess
休む 	yasumu	 to be absent, to take a day off
呼ぶ 	yobu	 to call out, to call
四日 	yokka	 fourth day of the month, four days
横 	yoko	 horizontal
読む 	yomu	 to read
夜 	yoru	 evening, night
洋服 	youfuku	 Western-style clothes
八日 	youka	 eight day of the month, eight days
弱い 	yowai	 weak, frail, delicate
雪 	yuki	 snow
ゆっくり 	yukkuri	 slowly, at ease
郵便局 	yuubinkyoku	 post office
有名 	yuumei	 famous
雑誌 	zasshi	 journal, magazine
全部 	zenbu	 all, entire, whole
アパート 	apaato	 apartment
バス 	basu	 bus
ベッド 	beddo	 bed
デパート 	depaato	 department store
ドア 	doa	 door 	Western style
エレベータ 	erebeeta	 elevator
フォーク 	fooku	 fork
ギター 	gitaa	 guitar
グラム 	guramu	 gram
ホテル 	hoteru	 hotel
カメラ 	kamera	 camera
キロ 	kiro	 kilogram
コーヒー 	koohii	 coffee
コート 	kooto	 coat
コップ 	koppu	 glass
クラス 	kurasu	 class
パーティー 	paatii	 party
ペン 	pen	 pen
ペット 	petto	 pet
ポケット 	poketto	 pocket
プール 	puuru	 swimming pool
セーター 	seetaa	 sweater, jumper
シャワー 	shawaa	 shower
シャツ 	shatsu	 shirt
スカート 	sukaato	 skirt
スポーツ 	supootsu	 sport
スプーン 	supuun	 spoon
スリッパ 	surippa	 slippers
ストーブ 	sutoobu	 heater, stove
タクシー 	takushii	 taxi
テーブル 	teeburu	 table
テープ 	teepu	 tape
テープレコーダー 	teepu rekoodaa	 tape recorder
テレビ 	terebi	 television, TV
テスト 	tesuto	 test
トイレ 	toire	 toilet, restroom
ゼロ 	zero	 zero, naught
ズボン 	zubon	 trousers, pants
